"","ALL_Richness","ALL_prop_Ash_bi","ALL_prop_Aspen_bi","ALL_prop_Basswood_bi","ALL_prop_Beech_bi","ALL_prop_Birch_bi","ALL_prop_Cherry_bi","ALL_prop_Walnut_bi","ALL_prop_Buckthorn_bi","ALL_prop_Dogwood_bi","ALL_prop_Elm_bi","ALL_prop_Grass_bi","ALL_prop_Maple_bi","ALL_prop_Oak","ALL_prop_Poplar_bi","ALL.Dim.1","ALL.Dim.2","ALL.Dim.3","ALL.Dim.4","ALL.Dim.5"
"ALL_prop_Elm_bi",0.631683932539084,-0.962547733032968,0.31164173521979,0.2371182755328,0.285351844666667,0.0454012611828429,0.0188773680816037,0.979648579616346,0.483499850461273,0.979648579616346,1,-0.97180386203489,0.131539398839994,0.0296151364114098,0.0792244631614065,0.825803332132759,0.0668636051119707,0.191009639074088,0.218712985824376,-0.345057327454497
"ALL_prop_Grass_bi",-0.192460701966691,-0.870341319280248,-0.837799753887657,-0.904114231123438,0.0144626410233257,-0.904114231123438,0.290024717597787,-0.816844307356371,-0.814431716401873,-0.816844307356371,-0.97180386203489,1,-0.166388819090617,0.102438522469169,0.357906521324761,-0.697762617629533,-0.282739731622276,0.572157836725088,-0.0888842106770166,0.58965770774768
"ALL_prop_Maple_bi",0.497658906659856,-0.054544604289086,-0.382820043885349,-0.236334238277559,0.54018381547003,-0.0644637922652543,0.213693633084488,0.920921206273965,-0.253587646793594,-0.042545891834553,0.131539398839994,-0.166388819090617,1,0.113380204773297,-0.253587646793594,0.502597153614845,-0.383330250741014,0.262403858232251,-0.767858265996059,0.0358938883990436
"ALL_prop_Oak",0.017611664314544,-0.190451624966063,-0.119466525918935,-0.366256584689443,0.489004684725075,-0.298014180793908,-0.540206849619738,0.426682150226271,-0.0392114699554479,-0.601641772310217,0.0296151364114098,0.102438522469169,0.113380204773297,1,-0.4108484688143,0.0977351260103368,-0.724717075165411,-0.0908268297294408,0.103257763108991,0.0394693207019427
"ALL_prop_Poplar_bi",0.496726260159562,-0.831174544218894,-0.97087888405234,0.235638506101622,0.0792244631614065,-0.849292272205622,0.508855328336696,-0.751237570376479,0.616240401280932,-0.751237570376479,0.0792244631614065,0.357906521324761,-0.253587646793594,-0.4108484688143,1,0.162993187331861,0.501618251178289,NA,0.568943513295309,0.664486255531534
"ALL.Dim.1",0.899150768374374,-0.0344116575907582,0.553178984574678,0.288193998696815,0.651479195694692,0.403028551190392,0.0272401825738961,0.852847328326759,0.339354949368824,0.596735045192114,0.825803332132759,-0.697762617629533,0.502597153614845,0.0977351260103368,0.162993187331861,1,-3.59890795063259e-16,-9.26205861329751e-17,2.18292888262416e-16,9.26991631758134e-17
"ALL.Dim.2",0.174509449868472,0.401703308290214,0.295016576376053,NA,-0.783779162638149,0.453763751776909,0.637474333379661,-0.90887179952798,0.185738186571238,0.663563968405545,0.0668636051119707,-0.282739731622276,-0.383330250741014,-0.724717075165411,0.501618251178289,-3.59890795063259e-16,1,-9.18103020947352e-16,-3.47895655313726e-17,2.30737512060322e-16
"ALL.Dim.3",0.137962624723433,-0.771745261745505,-0.921665676288137,-0.187352109638985,0.182716698838658,-0.647514415413914,0.837093372742452,-0.261630602027399,0.564218279183764,0.222001831507992,0.191009639074088,0.572157836725088,0.262403858232251,-0.0908268297294408,NA,-9.26205861329751e-17,-9.18103020947352e-16,1,-5.44164110874745e-17,-3.3565016154962e-16
"ALL.Dim.4",-0.0770768806192745,-0.383940727802018,0.382191799322748,-0.224021903914331,-0.110835921505715,0.156585507858652,-0.409595985310016,0.0515867395391225,0.999900050007998,-0.65585973998586,0.218712985824376,-0.0888842106770166,-0.767858265996059,0.103257763108991,0.568943513295309,2.18292888262416e-16,-3.47895655313726e-17,-5.44164110874745e-17,1,2.84738254598774e-16
"ALL.Dim.5",0.194179076717053,0.543585337467422,0.796784012333989,0.217723145971783,-0.0226370227957469,-0.332407776659794,0.265882210570544,0.754016789466003,-0.300820904411095,-0.999900000106581,-0.345057327454497,0.58965770774768,0.0358938883990436,0.0394693207019427,0.664486255531534,9.26991631758134e-17,2.30737512060322e-16,-3.3565016154962e-16,2.84738254598774e-16,1
