"","No_logs_per_length","No_logs_per_area","VolCWD_per_length","VolCWD_per_area","No_logjams_per_length","No_logjams_per_area","No_logjam_pieces_per_length","No_logjam_pieces_per_area","VolCWDLJ_per_length","VolCWDLJ_per_area","prop_logjam_pieces","prop_logjam_vol","No_insitu_per_length","No_insitu_per_area","Vol_insitu_per_length","Vol_insitu_per_area","prop_insitu_pieces","prop_insitu_vol","No_ash_per_length","No_ash_per_area","Vol_ash_per_length","Vol_ash_per_area","prop_ash_pieces","prop_ash_vol"
"prop_logjam_pieces",-0.686902085591065,-0.82296372271619,-0.608161403886576,-0.834365119001139,0.267915339007589,0.213779661023747,0.916021498852677,0.941831189664127,0.644076163668385,0.823645512032841,1,0.879670213867264,-0.716637356588782,-0.716181879444928,-0.782435125401248,-0.827759753619793,-0.597767340027607,-0.619719619987234,-0.940030341729469,-0.964120659377206,-0.51076524628144,-0.718639659507737,-0.81154326722416,-0.394531170512118
"prop_logjam_vol",-0.477952128279075,-0.728370141717146,-0.592752891179837,-0.836713793381383,0.666495163412105,0.636487101171606,0.980791109675321,0.885018196890259,0.7717426879729,0.907744006380884,0.879670213867264,1,-0.52338350777604,-0.587398164981082,-0.770819006002538,-0.794351250386072,-0.443238754444327,-0.543810305604869,-0.851733425856085,-0.881360504838201,-0.53997878839156,-0.724815212674283,-0.75010691299187,-0.333908776809212
"No_insitu_per_length",0.292477785330867,0.704537628501734,-0.00561498337478822,0.346571210276934,-0.20332662548618,0.0130627755165765,-0.649337862977172,-0.626127782546986,-0.586288818141954,-0.664781457615937,-0.716637356588782,-0.52338350777604,1,0.97244815033753,0.792997245416972,0.91420281353472,0.973244553847073,0.933957584187017,0.615731898420895,0.836993414301151,0.0947414509851884,0.351843515794984,0.676830587147239,0.332618937499633
"No_insitu_per_area",0.173623945957071,0.690905685298687,-0.0823307297053965,0.30413147414081,-0.328040483090996,-0.102219527413153,-0.720557665776538,-0.640641751919703,-0.661769540449973,-0.734661985142548,-0.716181879444928,-0.587398164981082,0.97244815033753,1,0.74079778263121,0.921315693439546,0.965254474564685,0.925126224075584,0.562705366194047,0.833535135580355,-0.0193528816478971,0.256018912464172,0.651624778010043,0.203485838766631
"Vol_insitu_per_length",0.442623676212625,0.665039407431683,0.436031870163846,0.683252135890843,-0.493749602010445,-0.424183119312272,-0.781421822536293,-0.796052681734674,-0.598999591319269,-0.723909729688866,-0.782435125401248,-0.770819006002538,0.792997245416972,0.74079778263121,1,0.932311583771178,0.750710061893864,0.854166489758318,0.859016058316769,0.899299900017904,0.622028623995089,0.795932141556063,0.877598114125744,0.698317268929514
"Vol_insitu_per_area",0.326732648191816,0.744106438668196,0.223254597503006,0.570789073452413,-0.518932572976611,-0.367335776081781,-0.861855767560391,-0.801370075513324,-0.728139316064893,-0.835685931598012,-0.827759753619793,-0.794351250386072,0.91420281353472,0.921315693439546,0.932311583771178,1,0.885616596835214,0.930816940143422,0.7788954709774,0.945274239101474,0.335728975633492,0.580316563769293,0.824755594351867,0.452353439818136
"prop_insitu_pieces",0.076960034540035,0.542542936933595,-0.160462999134578,0.177555038983294,-0.24730347804187,-0.0479227721252386,-0.577029832857978,-0.562302241903797,-0.495005621490298,-0.570303751093516,-0.597767340027607,-0.443238754444327,0.973244553847073,0.965254474564685,0.750710061893864,0.885616596835214,1,0.971688637960625,0.496522553169741,0.750417526898508,-0.000667563805554194,0.235267356245162,0.66703168131245,0.344254823243593
"prop_insitu_vol",0.0719346124741658,0.512208288489609,-0.0472620366448791,0.267742239609262,-0.395594387299611,-0.244839759598015,-0.642336080183899,-0.637290789050023,-0.509221356326324,-0.603266823046282,-0.619719619987234,-0.543810305604869,0.933957584187017,0.925126224075584,0.854166489758318,0.930816940143422,0.971688637960625,1,0.578178895000968,0.788353624438256,0.167882613741239,0.379918320420777,0.771164698598151,0.494691875210836
"No_ash_per_length",0.749203502427414,0.725884215543224,0.772446835886296,0.910072869350003,-0.271250668764037,-0.292673453439329,-0.836873894495903,-0.9310239057309,-0.519014681261604,-0.713029595237221,-0.940030341729469,-0.851733425856085,0.615731898420895,0.562705366194047,0.859016058316769,0.7788954709774,0.496522553169741,0.578178895000968,1,0.917198524787743,0.76605370741455,0.907395425393012,0.872286076762321,0.640347880751655
"No_ash_per_area",0.570285457030412,0.832535500003489,0.475536922357759,0.766809881620548,-0.400593354632841,-0.298548492822062,-0.928870687634675,-0.914774233385248,-0.717048823539792,-0.868080370075409,-0.964120659377206,-0.881360504838201,0.836993414301151,0.833535135580355,0.899299900017904,0.945274239101474,0.750417526898508,0.788353624438256,0.917198524787743,1,0.477518466715725,0.70969305300878,0.853323855213216,0.454283339151256
